invoice_id,order_date,customer_id,customer_segment,region,sales_channel,category,product,quantity,unit_price,discount,revenue,profit
INV-10059,2024-01-06,CUST-0431,Consumer,Limassol,Online,Home & Living,Wall Clock,4,12.41,0.05,47.16,14.21
INV-10060,2024-01-06,CUST-0001,Consumer,Larnaca,Online,Electronics,Keyboard,1,49.11,0.0,49.11,15.4
INV-10061,2024-01-07,CUST-0219,Consumer,Larnaca,Online,Office Supplies,Folders,6,5.79,0.05,33.0,13.34
INV-10062,2024-01-07,CUST-0344,Consumer,Larnaca,Online,Home & Living,Storage Box,3,21.13,0.0,63.39,23.9
INV-10063,2024-01-07,CUST-0026,Consumer,Larnaca,Online,Fitness,Resistance Bands,3,19.68,0.0,59.04,21.4
INV-10064,2024-01-07,CUST-0200,Consumer,Paphos,Online,Fitness,Skipping Rope,1,13.77,0.1,12.39,3.52
INV-10065,2024-01-07,CUST-0110,Consumer,Nicosia,Retail Store,Electronics,Monitor Stand,1,32.96,0.1,29.66,8.28
INV-10066,2024-01-07,CUST-0125,Small Business,Limassol,Retail Store,Office Supplies,Folders,6,12.29,0.0,73.74,26.78
INV-10067,2024-01-07,CUST-0454,Enterprise,Famagusta,Retail Store,Home & Living,Cushion,2,13.97,0.05,26.54,10.87
INV-10068,2024-01-07,CUST-0163,Consumer,Limassol,Marketplace,Home & Living,Cushion,1,14.82,0.1,13.34,3.75
INV-10069,2024-01-07,CUST-0534,Consumer,Larnaca,Marketplace,Electronics,USB-C Hub,3,50.44,0.05,143.75,38.28
INV-10070,2024-01-08,CUST-0328,Consumer,Nicosia,Online,Office Supplies,Printer Paper,1,10.97,0.15,9.32,2.87
INV-10071,2024-01-08,CUST-0066,Small Business,Nicosia,Retail Store,Office Supplies,Pen Set,5,7.33,0.0,36.65,13.69
INV-10072,2024-01-08,CUST-0021,Consumer,Limassol,Online,Office Supplies,Printer Paper,2,9.21,0.1,16.58,5.96
INV-10073,2024-01-08,CUST-0400,Consumer,Limassol,Marketplace,Home & Living,Plant Pot,1,13.6,0.1,12.24,4.9
INV-10074,2024-01-08,CUST-0226,Small Business,Limassol,Retail Store,Fitness,Foam Roller,1,9.06,0.05,8.61,3.25
INV-10075,2024-01-08,CUST-0415,Consumer,Nicosia,Online,Office Supplies,Printer Paper,1,7.76,0.1,6.98,2.86
INV-10076,2024-01-08,CUST-0028,Small Business,Famagusta,Retail Store,Home & Living,Storage Box,3,24.48,0.0,73.44,18.07
INV-10077,2024-01-08,CUST-0466,Consumer,Nicosia,Online,Electronics,Monitor Stand,2,65.28,0.0,130.56,41.48
INV-10078,2024-01-08,CUST-0084,Consumer,Nicosia,Marketplace,Home & Living,Plant Pot,4,21.67,0.0,86.68,31.72
INV-10079,2024-01-08,CUST-0042,Consumer,Famagusta,Online,Home & Living,Desk Lamp,2,22.32,0.1,40.18,12.35
INV-10080,2024-01-09,CUST-0485,Consumer,Paphos,Retail Store,Fitness,Resistance Bands,2,18.08,0.05,34.35,13.13
INV-10081,2024-01-09,CUST-0118,Consumer,Limassol,Online,Electronics,Keyboard,2,36.4,0.1,65.52,23.66
INV-10082,2024-01-09,CUST-0385,Consumer,Nicosia,Online,Office Supplies,Desk Organizer,1,6.43,0.0,6.43,2.71
INV-10083,2024-01-09,CUST-0309,Consumer,Larnaca,Marketplace,Home & Living,Desk Lamp,2,21.05,0.1,37.89,11.38
INV-10084,2024-01-09,CUST-0546,Consumer,Paphos,Retail Store,Home & Living,Desk Lamp,1,13.6,0.0,13.6,4.4
INV-10085,2024-01-09,CUST-0502,Consumer,Larnaca,Online,Electronics,Webcam,1,24.87,0.0,24.87,7.2
INV-10086,2024-01-09,CUST-0277,Small Business,Larnaca,Online,Fitness,Foam Roller,4,11.7,0.05,44.46,18.05
INV-10087,2024-01-09,CUST-0331,Consumer,Limassol,Marketplace,Fitness,Foam Roller,4,19.89,0.1,71.6,31.69
INV-10088,2024-01-09,CUST-0389,Small Business,Nicosia,Online,Home & Living,Desk Lamp,2,11.36,0.0,22.72,7.17
INV-10089,2024-01-09,CUST-0349,Small Business,Nicosia,Online,Electronics,USB-C Hub,1,41.91,0.0,41.91,17.7
INV-10090,2024-01-09,CUST-0248,Consumer,Limassol,Retail Store,Electronics,USB-C Hub,2,54.09,0.1,97.36,33.69
INV-10091,2024-01-09,CUST-0018,Consumer,Larnaca,Retail Store,Electronics,Keyboard,1,41.72,0.0,41.72,9.81
INV-10092,2024-01-09,CUST-0544,Consumer,Nicosia,Retail Store,Office Supplies,Pen Set,1,13.63,0.0,13.63,6.08
INV-10093,2024-01-10,CUST-0258,Consumer,Limassol,Retail Store,Fitness,Skipping Rope,4,23.82,0.0,95.28,34.35
INV-10094,2024-01-10,CUST-0190,Small Business,Nicosia,Retail Store,Home & Living,Wall Clock,1,28.81,0.0,28.81,12.02
INV-10095,2024-01-10,CUST-0290,Consumer,Larnaca,Marketplace,Home & Living,Wall Clock,2,22.49,0.2,35.98,11.54
INV-10096,2024-01-10,CUST-0547,Consumer,Nicosia,Online,Home & Living,Wall Clock,2,26.25,0.0,52.5,20.56
INV-10097,2024-01-10,CUST-0503,Consumer,Limassol,Retail Store,Office Supplies,Notebook,3,7.15,0.0,21.45,10.42
INV-10098,2024-01-10,CUST-0053,Consumer,Limassol,Online,Office Supplies,Desk Organizer,6,8.54,0.0,51.24,20.98
INV-10099,2024-01-10,CUST-0055,Consumer,Paphos,Online,Fitness,Yoga Mat,4,15.57,0.0,62.28,23.07
INV-10100,2024-01-10,CUST-0427,Consumer,Nicosia,Online,Home & Living,Wall Clock,2,17.87,0.05,33.95,12.99
INV-10101,2024-01-10,CUST-0305,Small Business,Larnaca,Online,Home & Living,Storage Box,2,14.7,0.15,24.99,10.15
INV-10102,2024-01-10,CUST-0102,Enterprise,Limassol,Online,Fitness,Water Bottle,4,19.81,0.15,67.35,26.2
INV-10103,2024-01-10,CUST-0077,Consumer,Nicosia,Online,Office Supplies,Pen Set,2,9.15,0.0,18.3,7.41
INV-10104,2024-01-11,CUST-0290,Consumer,Limassol,Online,Electronics,Webcam,1,37.0,0.1,33.3,11.09
INV-10105,2024-01-11,CUST-0203,Consumer,Famagusta,Retail Store,Electronics,Keyboard,3,36.3,0.0,108.9,41.35
INV-10106,2024-01-11,CUST-0170,Consumer,Paphos,Marketplace,Electronics,Keyboard,1,54.94,0.1,49.45,12.03
INV-10107,2024-01-11,CUST-0312,Consumer,Famagusta,Online,Electronics,Webcam,1,36.85,0.1,33.16,7.61
INV-10108,2024-01-11,CUST-0443,Consumer,Limassol,Online,Fitness,Skipping Rope,4,24.53,0.1,88.31,31.88
INV-10109,2024-01-11,CUST-0022,Small Business,Nicosia,Marketplace,Home & Living,Desk Lamp,2,20.33,0.2,32.53,12.45
INV-10110,2024-01-11,CUST-0532,Consumer,Limassol,Retail Store,Home & Living,Wall Clock,2,24.74,0.05,47.01,15.69
INV-10111,2024-01-11,CUST-0094,Small Business,Famagusta,Online,Fitness,Resistance Bands,4,27.56,0.0,110.24,45.56
INV-10112,2024-01-11,CUST-0508,Consumer,Larnaca,Marketplace,Electronics,USB-C Hub,2,47.62,0.0,95.24,24.93
INV-10113,2024-01-11,CUST-0119,Consumer,Nicosia,Online,Fitness,Skipping Rope,1,23.79,0.2,19.03,7.6
INV-10114,2024-01-11,CUST-0474,Small Business,Paphos,Online,Electronics,Webcam,2,68.58,0.0,137.16,45.85
INV-10115,2024-01-11,CUST-0053,Consumer,Larnaca,Retail Store,Office Supplies,Desk Organizer,5,11.67,0.0,58.35,23.62
INV-10116,2024-01-11,CUST-0246,Consumer,Limassol,Retail Store,Electronics,USB-C Hub,1,41.64,0.1,37.48,14.28
INV-10117,2024-01-12,CUST-0117,Enterprise,Limassol,Online,Office Supplies,Notebook,2,9.13,0.0,18.26,5.86
INV-10118,2024-01-12,CUST-0280,Consumer,Limassol,Retail Store,Office Supplies,Pen Set,5,12.18,0.0,60.9,23.87
INV-10119,2024-01-12,CUST-0521,Consumer,Nicosia,Retail Store,Electronics,Monitor Stand,3,48.77,0.1,131.68,39.34
INV-10120,2024-01-12,CUST-0520,Consumer,Nicosia,Retail Store,Office Supplies,Notebook,1,7.01,0.0,7.01,3.14
INV-10121,2024-01-12,CUST-0153,Consumer,Paphos,Retail Store,Office Supplies,Desk Organizer,2,9.93,0.0,19.86,9.01
INV-10122,2024-01-12,CUST-0330,Consumer,Limassol,Retail Store,Electronics,USB-C Hub,2,41.07,0.15,69.82,21.63
INV-10123,2024-01-12,CUST-0045,Small Business,Limassol,Online,Fitness,Resistance Bands,4,25.95,0.0,103.8,39.82
INV-10124,2024-01-12,CUST-0156,Small Business,Limassol,Retail Store,Electronics,Monitor Stand,1,52.21,0.05,49.6,17.56
INV-10125,2024-01-12,CUST-0451,Consumer,Famagusta,Online,Office Supplies,Folders,2,10.48,0.0,20.96,8.06
INV-10126,2024-01-12,CUST-0159,Consumer,Larnaca,Online,Fitness,Yoga Mat,4,21.45,0.0,85.8,29.17
INV-10127,2024-01-12,CUST-0337,Consumer,Limassol,Retail Store,Home & Living,Wall Clock,2,22.49,0.1,40.48,15.75
INV-10128,2024-01-13,CUST-0500,Small Business,Famagusta,Retail Store,Fitness,Foam Roller,2,25.18,0.15,42.81,13.91
INV-10129,2024-01-13,CUST-0233,Consumer,Nicosia,Retail Store,Office Supplies,Notebook,3,8.67,0.1,23.41,10.04
INV-10130,2024-01-13,CUST-0171,Consumer,Larnaca,Retail Store,Electronics,Wireless Mouse,1,34.08,0.1,30.67,8.4
INV-10131,2024-01-13,CUST-0442,Consumer,Nicosia,Online,Fitness,Yoga Mat,3,11.24,0.0,33.72,11.2
INV-10132,2024-01-13,CUST-0392,Consumer,Larnaca,Online,Electronics,Webcam,2,20.13,0.05,38.25,12.69
INV-10133,2024-01-13,CUST-0262,Consumer,Nicosia,Retail Store,Office Supplies,Folders,1,4.46,0.05,4.24,1.76
INV-10134,2024-01-13,CUST-0453,Consumer,Paphos,Retail Store,Fitness,Foam Roller,1,26.42,0.15,22.46,6.14
INV-10135,2024-01-13,CUST-0310,Consumer,Larnaca,Online,Fitness,Water Bottle,1,21.5,0.0,21.5,7.6
INV-10136,2024-01-14,CUST-0303,Consumer,Nicosia,Online,Electronics,Monitor Stand,3,49.45,0.2,118.68,50.4
INV-10137,2024-01-14,CUST-0051,Small Business,Nicosia,Retail Store,Office Supplies,Printer Paper,4,9.02,0.15,30.67,11.73
INV-10138,2024-01-14,CUST-0225,Small Business,Larnaca,Online,Home & Living,Wall Clock,4,19.81,0.05,75.28,19.58
INV-10139,2024-01-14,CUST-0317,Consumer,Larnaca,Marketplace,Home & Living,Storage Box,2,16.06,0.1,28.91,8.48
INV-10140,2024-01-14,CUST-0426,Consumer,Larnaca,Online,Office Supplies,Desk Organizer,3,11.13,0.0,33.39,10.81
INV-10141,2024-01-14,CUST-0280,Consumer,Paphos,Online,Office Supplies,Folders,4,6.52,0.1,23.47,8.56
INV-10142,2024-01-14,CUST-0118,Small Business,Famagusta,Online,Office Supplies,Printer Paper,3,13.65,0.0,40.95,15.8
INV-10143,2024-01-14,CUST-0375,Enterprise,Paphos,Retail Store,Office Supplies,Pen Set,3,9.51,0.0,28.53,12.49
INV-10144,2024-01-14,CUST-0269,Consumer,Limassol,Online,Electronics,USB-C Hub,3,41.76,0.05,119.02,43.83
INV-10145,2024-01-14,CUST-0336,Consumer,Nicosia,Online,Home & Living,Wall Clock,2,32.42,0.15,55.11,21.16
INV-10146,2024-01-14,CUST-0419,Small Business,Larnaca,Retail Store,Office Supplies,Notebook,6,9.7,0.0,58.2,24.45
INV-10147,2024-01-15,CUST-0139,Consumer,Nicosia,Retail Store,Office Supplies,Notebook,4,6.39,0.0,25.56,9.86
INV-10148,2024-01-15,CUST-0425,Consumer,Limassol,Retail Store,Electronics,Webcam,2,18.62,0.05,35.38,15.13
INV-10149,2024-01-15,CUST-0380,Consumer,Limassol,Marketplace,Home & Living,Cushion,1,23.54,0.0,23.54,5.79
INV-10150,2024-01-15,CUST-0368,Small Business,Paphos,Online,Electronics,Keyboard,2,44.81,0.0,89.62,32.06
INV-10151,2024-01-15,CUST-0218,Consumer,Famagusta,Marketplace,Office Supplies,Notebook,2,4.43,0.05,8.42,3.71
INV-10152,2024-01-15,CUST-0211,Enterprise,Nicosia,Online,Electronics,Wireless Mouse,1,21.35,0.0,21.35,7.79
INV-10153,2024-01-15,CUST-0152,Consumer,Larnaca,Marketplace,Home & Living,Storage Box,2,38.39,0.1,69.1,19.69
INV-10154,2024-01-15,CUST-0257,Consumer,Paphos,Online,Electronics,USB-C Hub,2,49.77,0.1,89.59,22.72
INV-10155,2024-01-15,CUST-0332,Small Business,Nicosia,Online,Office Supplies,Notebook,3,11.24,0.0,33.72,12.32
INV-10156,2024-01-15,CUST-0488,Small Business,Larnaca,Retail Store,Office Supplies,Pen Set,1,6.04,0.0,6.04,2.45
INV-10157,2024-01-15,CUST-0045,Enterprise,Nicosia,Retail Store,Electronics,Webcam,3,34.4,0.1,92.88,25.68
INV-10158,2024-01-15,CUST-0491,Consumer,Nicosia,Retail Store,Fitness,Skipping Rope,3,26.41,0.1,71.31,34.16
INV-10159,2024-01-15,CUST-0083,Consumer,Limassol,Marketplace,Electronics,Wireless Mouse,1,37.8,0.0,37.8,9.0
INV-10160,2024-01-16,CUST-0333,Consumer,Nicosia,Retail Store,Office Supplies,Pen Set,1,10.54,0.0,10.54,4.64
INV-10161,2024-01-16,CUST-0118,Consumer,Limassol,Retail Store,Electronics,USB-C Hub,1,43.54,0.1,39.19,11.63
INV-10162,2024-01-16,CUST-0234,Consumer,Larnaca,Online,Home & Living,Cushion,2,23.27,0.0,46.54,14.02
INV-10163,2024-01-16,CUST-0262,Consumer,Limassol,Online,Home & Living,Plant Pot,4,18.17,0.0,72.68,20.25
INV-10164,2024-01-16,CUST-0099,Consumer,Nicosia,Marketplace,Office Supplies,Printer Paper,3,11.31,0.1,30.54,10.41
INV-10165,2024-01-16,CUST-0338,Consumer,Limassol,Retail Store,Electronics,Keyboard,1,41.71,0.05,39.62,12.59
INV-10166,2024-01-16,CUST-0320,Enterprise,Paphos,Retail Store,Electronics,Monitor Stand,1,56.07,0.0,56.07,14.06
INV-10167,2024-01-16,CUST-0359,Small Business,Nicosia,Retail Store,Electronics,Keyboard,1,32.36,0.1,29.12,9.17
INV-10168,2024-01-16,CUST-0027,Small Business,Limassol,Marketplace,Electronics,USB-C Hub,1,29.79,0.05,28.3,5.96
INV-10169,2024-01-16,CUST-0348,Small Business,Nicosia,Online,Home & Living,Wall Clock,1,16.6,0.0,16.6,6.12
INV-10170,2024-01-16,CUST-0032,Consumer,Limassol,Online,Office Supplies,Pen Set,2,4.32,0.0,8.64,3.37
INV-10171,2024-01-16,CUST-0333,Consumer,Limassol,Online,Electronics,Monitor Stand,1,16.7,0.1,15.03,4.31
INV-10172,2024-01-16,CUST-0051,Small Business,Paphos,Online,Electronics,Wireless Mouse,1,33.64,0.05,31.96,9.9
INV-10173,2024-01-16,CUST-0525,Consumer,Limassol,Online,Office Supplies,Printer Paper,3,15.25,0.0,45.75,20.57
INV-10174,2024-01-17,CUST-0316,Consumer,Larnaca,Retail Store,Electronics,USB-C Hub,1,47.94,0.0,47.94,17.28
INV-10175,2024-01-17,CUST-0141,Enterprise,Nicosia,Online,Electronics,Webcam,3,26.82,0.1,72.41,24.89
INV-10176,2024-01-17,CUST-0390,Consumer,Nicosia,Retail Store,Office Supplies,Notebook,1,7.63,0.05,7.25,2.53
INV-10177,2024-01-17,CUST-0044,Consumer,Paphos,Marketplace,Office Supplies,Folders,1,7.22,0.0,7.22,2.43
INV-10178,2024-01-17,CUST-0428,Consumer,Paphos,Retail Store,Electronics,Wireless Mouse,2,12.46,0.0,24.92,8.75
INV-10179,2024-01-17,CUST-0371,Consumer,Nicosia,Marketplace,Electronics,USB-C Hub,1,55.37,0.0,55.37,17.65
INV-10180,2024-01-17,CUST-0318,Consumer,Limassol,Online,Home & Living,Storage Box,4,34.57,0.1,124.45,41.85
INV-10181,2024-01-17,CUST-0199,Consumer,Nicosia,Retail Store,Office Supplies,Pen Set,3,9.3,0.15,23.72,9.9
INV-10182,2024-01-17,CUST-0157,Consumer,Nicosia,Online,Office Supplies,Pen Set,1,11.8,0.1,10.62,3.63
INV-10183,2024-01-17,CUST-0460,Consumer,Famagusta,Retail Store,Home & Living,Storage Box,1,16.66,0.1,14.99,3.74
INV-10184,2024-01-17,CUST-0451,Consumer,Nicosia,Marketplace,Fitness,Skipping Rope,1,19.08,0.0,19.08,8.5
INV-10185,2024-01-18,CUST-0076,Consumer,Paphos,Retail Store,Electronics,USB-C Hub,2,30.19,0.0,60.38,19.69
INV-10186,2024-01-18,CUST-0093,Consumer,Limassol,Online,Electronics,Wireless Mouse,1,56.47,0.05,53.65,11.21
INV-10187,2024-01-18,CUST-0043,Small Business,Larnaca,Marketplace,Electronics,Monitor Stand,1,71.87,0.0,71.87,13.89
INV-10188,2024-01-18,CUST-0064,Consumer,Nicosia,Retail Store,Home & Living,Storage Box,3,17.79,0.0,53.37,20.17
INV-10189,2024-01-18,CUST-0041,Consumer,Famagusta,Online,Home & Living,Wall Clock,2,38.73,0.0,77.46,24.0
INV-10190,2024-01-18,CUST-0290,Consumer,Limassol,Retail Store,Electronics,Monitor Stand,2,52.5,0.0,105.0,31.27
INV-10191,2024-01-18,CUST-0338,Consumer,Nicosia,Retail Store,Home & Living,Cushion,2,23.19,0.0,46.38,15.98
INV-10192,2024-01-18,CUST-0154,Enterprise,Nicosia,Marketplace,Home & Living,Wall Clock,4,26.68,0.0,106.72,35.28
INV-10193,2024-01-18,CUST-0402,Consumer,Paphos,Online,Electronics,Keyboard,2,51.91,0.0,103.82,36.52
INV-10194,2024-01-18,CUST-0131,Small Business,Nicosia,Online,Home & Living,Desk Lamp,3,19.77,0.05,56.34,18.26
INV-10195,2024-01-18,CUST-0019,Consumer,Nicosia,Retail Store,Home & Living,Cushion,4,26.57,0.0,106.28,29.27
INV-10196,2024-01-18,CUST-0141,Consumer,Limassol,Retail Store,Office Supplies,Pen Set,2,11.61,0.0,23.22,8.45
INV-10197,2024-01-18,CUST-0540,Small Business,Limassol,Retail Store,Office Supplies,Notebook,2,8.25,0.0,16.5,7.34
INV-10198,2024-01-19,CUST-0170,Consumer,Nicosia,Online,Office Supplies,Folders,2,9.06,0.1,16.31,7.56
INV-10199,2024-01-19,CUST-0292,Consumer,Larnaca,Online,Office Supplies,Desk Organizer,3,8.28,0.1,22.36,9.42
INV-10200,2024-01-19,CUST-0481,Small Business,Limassol,Online,Home & Living,Storage Box,2,23.65,0.15,40.2,15.22
INV-10201,2024-01-19,CUST-0392,Consumer,Famagusta,Retail Store,Office Supplies,Folders,4,3.4,0.05,12.92,4.42
INV-10202,2024-01-19,CUST-0257,Consumer,Paphos,Marketplace,Electronics,Keyboard,3,33.54,0.0,100.62,34.29
INV-10203,2024-01-19,CUST-0128,Small Business,Limassol,Online,Electronics,USB-C Hub,1,67.18,0.0,67.18,20.7
INV-10204,2024-01-19,CUST-0094,Small Business,Limassol,Retail Store,Home & Living,Wall Clock,1,18.59,0.15,15.8,5.69
INV-10205,2024-01-19,CUST-0406,Consumer,Paphos,Marketplace,Office Supplies,Printer Paper,1,11.91,0.05,11.31,4.71
INV-10206,2024-01-19,CUST-0344,Enterprise,Limassol,Online,Office Supplies,Notebook,3,10.98,0.1,29.65,9.92
INV-10207,2024-01-19,CUST-0481,Small Business,Paphos,Retail Store,Office Supplies,Desk Organizer,3,7.78,0.0,23.34,9.17
INV-10208,2024-01-19,CUST-0541,Consumer,Nicosia,Online,Office Supplies,Notebook,3,6.66,0.0,19.98,5.4
INV-10209,2024-01-19,CUST-0469,Consumer,Nicosia,Online,Home & Living,Storage Box,3,44.22,0.0,132.66,46.31
INV-10210,2024-01-20,CUST-0248,Consumer,Larnaca,Online,Home & Living,Plant Pot,2,26.58,0.1,47.84,16.13
